Country,Population,Land_Area,Pop_Density,Percent_World_Pop,GDP_in_millions
Oman,5078933,309500,16.0,0.07,76331.5186685771
Costa Rica,5084636,51060,100.0,0.07,61801.3850490716
Liberia,5032469,96320,53.0,0.06,3070.5181
Ireland,4926480,68890,72.0,0.06,388698.71134815604
Central African Republic,4812256,622980,8.0,0.06,2220.30736869593
New Zealand,4814272,263310,18.0,0.06,206928.765543935
Mauritania,4623535,1030700,5.0,0.06,7600.656943975058
Panama,4300667,74340,58.0,0.06,66800.8
Kuwait,4257495,17820,240.0,0.05,134628.54274697
Croatia,4110214,55960,73.0,0.05,60752.5889763175
Moldova,4035814,32850,123.0,0.05,11968.7133704969
Georgia,3990681,69490,57.0,0.05,17477.2555456705
Uruguay,3471314,175020,20.0,0.04,56045.9129529732
Bosnia and Herzegovina,3284806,51000,64.0,0.04,20164.19380688
Mongolia,3267320,1553560,2.0,0.04,13996.7193294097
Armenia,2962137,28470,104.0,0.04,13672.8021578324
Jamaica,2958567,10830,273.0,0.04,16458.0710678176
Qatar,2870922,11610,248.0,0.04,175837.550996185
Albania,2878420,27400,105.0,0.04,15279.1832899372
Puerto Rico,2874636,8870,323.0,0.04,104988.6
Lithuania,2729553,62674,43.0,0.03,54627.4118604705
Namibia,2531290,823290,3.0,0.03,12366.528259184399
Botswana,2341649,566730,4.0,0.03,18340.480936044398
Gabon,2214593,257670,9.0,0.03,16874.4502151351
Lesotho,2138799,30360,71.0,0.03,2376.32863726318
North Macedonia,2083391,25220,83.0,0.03,12547.0404989077
Slovenia,2078881,20140,103.0,0.03,54174.2273088862
Guinea-Bissau,1958132,28120,70.0,0.03,1339.44916548759
Latvia,1890218,62200,30.0,0.02,34102.9135824235
Bahrain,1688629,760,2239.0,0.02,38574.0691489362
Equatorial Guinea,1392950,28050,50.0,0.02,11026.7749453415
Trinidad and Tobago,1398579,5130,273.0,0.02,24269.714809907797
Estonia,1326357,42390,31.0,0.02,31471.1006562431
Timor-Leste,1313184,14870,89.0,0.02,2017.9249
Mauritius,1271347,2030,626.0,0.02,14048.4305185561
Cyprus,1205577,9240,131.0,0.02,24948.935408037596
Eswatini,1157707,17200,67.0,0.01,4471.598726643601
Djibouti,985027,23180,43.0,0.01,3324.63425613324
Fiji,895128,18270,49.0,0.01,5496.2506943158705
Comoros,865696,1861,467.0,0.01,1165.83992706327
Guyana,785788,196850,4.0,0.01,5173.75952757794
Bhutan,769867,38117,20.0,0.01,2530.5471575667802
Solomon Islands,683301,27990,25.0,0.01,1589.91362223799
Macao,647508,30,21645.0,0.01,53860.0
Montenegro,628050,13450,47.0,0.01,5542.57796498146
Luxembourg,623861,2590,242.0,0.01,71104.9191081411
Suriname,585561,156000,4.0,0.01,3697.37194958434
Cabo Verde,554750,4030,138.0,0.01,1981.84574035828
Maldives,538558,300,1802.0,0.01,5642.17917045898
Malta,441308,320,1380.0,0.01,14989.4156841203
Belize,396120,22810,17.0,0.01,1879.6136
Iceland,340795,100250,3.0,0.0,24188.0384735438
Vanuatu,305623,12190,25.0,0.0,934.2399738125732
Barbados,287305,430,668.0,0.0,5209.0
Samoa,198147,2830,70.0,0.0,852.2501909854849
Kiribati,119069,810,147.0,0.0,194.64720194647202
Grenada,112418,340,331.0,0.0,1210.6037037037
Tonga,105449,720,147.0,0.0,512.350059421629
Seychelles,98224,460,214.0,0.0,1703.38738732319
Antigua and Barbuda,97764,440,223.0,0.0,1661.9629629629599
Andorra,77240,470,164.0,0.0,3154.05798723833
Dominica,71950,750,96.0,0.0,582.403703703704
Bermuda,62323,50,1246.0,0.0,7484.113
Monaco,39186,1,26337.0,0.0,7188.0
Liechtenstein,38106,160,238.0,0.0,6877.0
Palau,18077,460,39.0,0.0,268.35491943359403
Tuvalu,11762,30,393.0,0.0,47.271463329857504
Nauru,10810,20,541.0,0.0,118.223430124446
Czechia,10701777,78871,136.0,0.14,250700.0
Eswatini (Swaziland),1136281,17364,68.2,0.0,4472.0
St. Kitts and Nevis,52441,261,164.0,0.0,1053.24444444444
Guernsey,62792,65,965.0,0.0,4615.974
